"quarter","molecule","product_type","brand","suffix","company","is_sb","is_orig","hcpcs_code","desc","payment_limit","addon_pct","ira_qualifying","asp_per_unit","asp","notes"
"2022 Q3 (Jul)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","275.14","6","False","259.566038","1297.83",""
"2022 Q4 (Oct)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","258.408","6","False","243.781132","1218.91",""
"2023 Q1 (Jan)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","237.195","6","False","223.768868","1118.84",""
"2023 Q2 (Apr)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","247.653","6","False","233.634906","1168.17",""
"2023 Q3 (Jul)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","236.583","6","False","223.191509","1115.96",""
"2023 Q4 (Oct)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","197.372","6","False","186.2","931.0",""
"2024 Q1 (Jan)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","187.553","6","False","176.936792","884.68",""
"2024 Q2 (Apr)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","173.378","6","False","163.564151","817.82",""
"2024 Q3 (Jul)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","137.626","6","False","129.835849","649.18",""
"2024 Q4 (Oct)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","137.136","6","False","129.373585","646.87",""
"2025 Q1 (Jan)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","123.979","6","False","116.961321","584.81",""
"2025 Q3 (Jul)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","91.112","6","False","85.954717","429.77",""
"2025 Q4 (Oct)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","86.384","6","False","81.49434","407.47",""
"2026 Q1 (Jan)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","65.443","6","False","61.738679","308.69",""
"2026 Q2 (Apr)","Ranibizumab","Originator","Lucentis","J2778","Genentech (Roche)","False","True","J2778","Ranibizumab injection","67.853","6","False","64.012264","320.06",""
"2023 Q1 (Jan)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","235.95","8","True","218.048491","1090.24","Added January 2023
8% of reference add-on applied"
"2023 Q2 (Apr)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","223.168","8","True","204.477208","1022.39","8% of reference add-on applied"
"2023 Q3 (Jul)","Ranibizumab","Biosimilar","Byooviz","ranibizumab-nuna","Samsung Bioepis","True","False","Q5124","Inj. byooviz, 0.1 mg","220.828","8","True","202.972679","1014.86","8% of reference add-on applied"
